#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.02910593400050628,0.0009617850959116672,0.0009030098270169026,$R_b / R_\star$,
b_rsuma,0.030716552485498906,0.0011511684944237183,0.0009366983672309537,$(R_\star + R_b) / a_b$,
b_cosi,0.007002735348200126,0.004568733527733615,0.004166449441730563,$\cos{i_b}$,
b_epoch,2458849.786387629,0.0013599754311144352,0.0010763243772089481,$T_{0;b}$,BJD
b_period,12.7187,0.0,0.0,$P_b$,d
c_rr,0.029576523739481234,0.001125443586091502,0.0010488037040340854,$R_c / R_\star$,
c_rsuma,0.021134301083213895,0.0012421010357723111,0.0008860985410973771,$(R_\star + R_c) / a_c$,
c_cosi,0.009415968451936617,0.003404062142882895,0.0019610594541845435,$\cos{i_c}$,
c_epoch,2458847.7530591064,0.0015284116379916668,0.0014524632133543491,$T_{0;c}$,BJD
c_period,22.082017911816564,7.3433340272544e-05,7.68206191494869e-05,$P_b$,d
b_f_c,0.0,(fixed),(fixed),$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,0.0,(fixed),(fixed),$\sqrt{e_b} \sin{\omega_b}$,
host_ldc_q1_tess,0.38402429265581717,0.1759867928958009,0.31151387828699895,$q_{1; \mathrm{tess}}$,
host_ldc_q2_tess,0.4990424997006846,0.25723707374259713,0.3098359272839806,$q_{2; \mathrm{tess}}$,
ln_err_flux_tess,-8.497561958989538,0.0589836239013497,0.05776019560531864,$\log{\sigma_\mathrm{tess}}$,rel. flux
baseline_gp_offset_flux_tess,8.807835041495238e-05,0.0007498637122008295,0.0007259280485770042,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnsigma_flux_tess,-6.418396718862466,0.3078955973274642,0.39632003237464275,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnrho_flux_tess,0.8564451808051907,0.6213815932554767,0.7193926582781542,$\mathrm{gp ln rho (tess)}$,
