#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.03465565035761442,0.0027906147885204124,0.0063675709565703675,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,28.855323437330426,4.478885702636042,2.527036009018442,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.0031242392278241814,0.0002828210076011436,0.0007128333495832586,derived
Companion radius b; $R_\mathrm{b}$ ($\mathrm{R_{\oplus}}$),7.852921280844498,1.0472691858107366,1.059717981104761,derived
Companion radius b; $R_\mathrm{b}$ ($\mathrm{R_{jup}}$),0.7005919154780156,0.09343125935796248,0.09454186839484535,derived
Semi-major axis b; $a_\mathrm{b}$ ($\mathrm{R_{\odot}}$),22.22679146226878,4.083830307020907,3.88694676508754,derived
Semi-major axis b; $a_\mathrm{b}$ (AU),0.10336496601151415,0.01899171914212576,0.01807611867614238,derived
Inclination b; $i_\mathrm{b}$ (deg),89.20555749871393,0.6863389835461362,0.4968013026565643,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.40112794303474797,0.23913679923607542,0.2324319432003945,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),4.013358939861036,0.1503046931937595,0.22593680927827986,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),3.179224758402933,0.1861476712483947,0.15451678866998453,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),2.0334430117625506,0.8075224153897034,0.5823854306230389,derived
Equilibrium temperature b; $T_\mathrm{eq;b}$ (K),612.1809627176488,30.10588127244273,54.032241773167925,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; tess}$ (ppt),9.273088123945893,0.5558952391950811,0.615954775121109,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; tess}$ (ppt),9.273088123945893,0.5558952391950811,0.615954775121109,derived
Limb darkening; $u_\mathrm{1; tess}$,0.30619398224270583,0.2118491861620876,0.3221915262881549,derived
Limb darkening; $u_\mathrm{2; tess}$,0.1290263849379562,0.2728247950839451,0.35643188320738767,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),2.0334430117625506,0.8075224153897034,0.5823854306230389,derived
