#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.02590400497088647,0.0007734451369211318,0.0008229333118203834,$R_b / R_\star$,
b_rsuma,0.054125070852216246,0.00301329137591351,0.0037526307160290692,$(R_\star + R_b) / a_b$,
b_cosi,0.03538724552186936,0.004527897512962269,0.005241372161472434,$\cos{i_b}$,
b_epoch,2458999.6820433545,0.0010648216120898724,0.0008577615953981876,$T_{0;b}$,BJD
b_period,9.188506204614821,2.033012090763009e-05,2.1736371232705665e-05,$P_b$,d
c_rr,0.025129605106575015,0.0014512423042084936,0.001388186674819998,$R_c / R_\star$,
c_rsuma,0.04188494946605566,0.00263168448847384,0.0033163796197654763,$(R_\star + R_c) / a_c$,
c_cosi,0.03614330250657803,0.003005103554859806,0.003661050341365879,$\cos{i_c}$,
c_epoch,2458996.960625624,0.0038517657667398453,0.002920340746641159,$T_{0;c}$,BJD
c_period,13.900261139990327,0.00011442646854220584,0.00014725345292454506,$P_b$,d
host_ldc_q1_tess,0.2927317938189912,0.019160708597217635,0.01892332302263766,$q_{1; \mathrm{tess}}$,
host_ldc_q2_tess,0.2946606543154631,0.010476699112143772,0.008683065429978265,$q_{2; \mathrm{tess}}$,
ln_err_flux_tess,-7.41126919148844,0.013693267760208627,0.013963712481311674,$\log{\sigma_\mathrm{tess}}$,rel. flux
baseline_gp_offset_flux_tess,0.0001889656158651637,0.0011964876170577898,0.001543775582483302,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnsigma_flux_tess,-5.264823941785654,0.18592768681713068,0.22119132796305685,$\mathrm{gp ln sigma (tess)}$,
baseline_gp_matern32_lnrho_flux_tess,0.4922909896101737,0.164683687833447,0.1725696051673239,$\mathrm{gp ln rho (tess)}$,
