,name,delta_min,1st order,2nd order
71,Kepler-50,0.0001516792234022013,True,False
83,TOI-1136,0.0003067499364933779,True,True
60,Kepler-372,0.0003963844591161614,True,True
59,Kepler-365,0.0005226864229330719,False,True
75,Kepler-60,0.0005466043257427167,True,True
51,Kepler-29,0.0005883449035792854,False,True
6,HR 858,0.0006224222599617857,False,True
68,Kepler-444,0.000872848253915981,True,False
41,Kepler-1972,0.001159823706796459,True,True
20,KIC 5437945,0.0011825462364023487,True,True
35,Kepler-1705,0.0012196984622059315,True,False
10,K2-19,0.0013464273392069792,True,True
21,KOI-1599,0.001386357846883346,True,True
22,KOI-3503,0.001589174730548315,True,True
16,K2-384,0.001943216161928385,False,True
31,Kepler-138,0.0022034440630636087,True,True
12,K2-219,0.002204188269665286,False,True
57,Kepler-359,0.002318475309085022,True,True
91,V1298 Tau,0.002329815578490102,True,True
58,Kepler-36,0.002411984208533946,True,False
66,Kepler-404,0.002444510924102139,True,False
64,Kepler-398,0.002527985750657269,False,True
11,K2-21,0.0025614909022353416,False,True
56,Kepler-342,0.0027483273892969784,True,True
85,TOI-2076,0.0028475335682722758,False,True
5,HD 28109,0.002948437838585116,True,True
25,Kepler-102,0.003140746288982754,True,True
39,Kepler-191,0.0031519008762028733,False,True
62,Kepler-384,0.0034111306461068747,True,True
53,Kepler-307,0.0036004913250422543,True,False
48,Kepler-26,0.0037168450442066625,False,True
49,Kepler-262,0.003933754719733118,False,True
33,Kepler-1641,0.003961861841437098,False,True
54,Kepler-33,0.0039975585507356914,False,True
69,Kepler-445,0.004192165878467158,False,True
79,Kepler-85,0.004334216229231913,True,True
90,TRAPPIST-1,0.0044756779023313875,True,True
72,Kepler-54,0.004602853641432425,True,True
67,Kepler-431,0.004997795090401436,False,True
87,TOI-270,0.005160855532454933,True,True
17,K2-63,0.005305820210297574,True,False
1,HD 108236,0.005312652740361301,True,True
37,Kepler-177,0.005340327345829232,True,True
73,Kepler-55,0.005472622024846219,True,True
23,KOI-351,0.005723231309583521,True,True
4,HD 23472,0.005751086344250478,True,True
50,Kepler-271,0.005809070384128923,False,True
13,K2-266,0.00581751377832207,True,True
0,GJ 9827,0.005831352810161894,False,True
86,TOI-216,0.005945784357658468,True,True
43,Kepler-208,0.006084723084764487,True,True
18,K2-72,0.006137065308924106,False,True
34,Kepler-168,0.006246604349009366,False,True
3,HD 191939,0.0064743321869618065,True,True
63,Kepler-385,0.006480489334294237,True,True
36,Kepler-176,0.006565671431634668,True,True
9,K2-148,0.006836820187295478,False,True
47,Kepler-254,0.006885842186932889,True,True
32,Kepler-1542,0.006954201979207264,True,True
84,TOI-1749,0.007111219924770262,True,True
78,Kepler-804,0.007128287542960687,True,True
61,Kepler-373,0.007227600121330058,False,True
27,Kepler-1130,0.00726599356006874,False,True
55,Kepler-339,0.007275510376874017,True,True
29,Kepler-127,0.0073129239608009655,False,True
88,TOI-561,0.007329065776045862,True,True
52,Kepler-305,0.007350707733430495,True,True
30,Kepler-128,0.007466313231720534,True,True
26,Kepler-11,0.007598013747587284,False,True
45,Kepler-23,0.00761189199836787,True,True
38,Kepler-186,0.007616460351183463,False,True
77,Kepler-80,0.007933459626372041,True,True
19,K2-80,0.008015762439022689,True,True
24,KOI-7892,0.008166089530387888,False,True
65,Kepler-402,0.008204123729598889,True,False
2,HD 109833,0.008514894917131866,True,True
14,K2-285,0.008521706434448051,False,True
7,K2-138,0.008614205151524112,True,True
76,Kepler-65,0.008860591744318858,False,True
42,Kepler-200,0.008882206557720984,True,False
89,TOI-700,0.009284143923468768,True,True
82,L 98-59,0.00939788104499062,True,True
46,Kepler-24,0.009457396699118714,True,True
81,Kepler-968,0.009518519138418391,True,True
28,Kepler-125,0.009550466381228362,False,True
8,K2-146,0.009599435327333428,True,True
40,Kepler-197,0.009856683377303721,True,True
15,K2-381,0.009874701808179731,True,True
70,Kepler-49,0.009924635320084807,True,True
74,Kepler-59,0.009991287031286156,True,True
80,Kepler-87,2.3793680032468956e-05,False,True
44,Kepler-223,3.52089311518311e-05,True,True
