,tic,delta_min,1st order,2nd order
4,441798995,2.3131787061037024e-05,True,True
2,142276270,9.139942805891366e-05,True,True
7,459837008,0.00015792761243860198,True,False
25,178155732,0.00026288827723286445,False,True
16,384984325,0.0004881460026591178,True,True
26,294471966,0.0014317472710536627,False,True
18,455947620,0.0019165035419630438,True,False
17,143022742,0.002050520711237125,True,True
20,303204165,0.0026218085478382225,True,False
24,27491137,0.00286189616846233,False,True
3,29781292,0.0030486181588416095,True,True
13,153065527,0.004088686723090151,True,True
9,259377017,0.005160850817943041,True,True
0,425997655,0.005740445625154078,True,True
15,374180079,0.0058026888930121645,True,True
21,55652896,0.006420833672644011,True,True
12,269701147,0.00644148352454077,True,True
23,441739020,0.00661093407562241,False,True
27,397362481,0.007040551148719043,False,True
28,392681545,0.007378822811915597,False,True
10,233602827,0.007399026814667975,True,True
8,54962195,0.007664771811258131,True,True
11,77156829,0.008024537889049999,True,True
22,367630162,0.008544695167365002,False,True
14,120826158,0.008612743935017875,True,True
19,360630575,0.008712382651857364,True,True
1,150428135,0.009309125863731671,True,True
6,307210830,0.009398201604880585,True,True
5,318022259,0.009756640112080772,True,True
